         9162875 function calls (9143498 primitive calls) in 46.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   965490    9.344    0.000   15.453    0.000 tree.py:751(_iter_descendants_preorder)
   962491    6.000    0.000   10.312    0.000 tree.py:973(is_leaf)
   487743    5.719    0.000   31.531    0.000 tree.py:600(iter_leaves)
  1932977    4.594    0.000    4.594    0.000 tree.py:146(_get_children)
      999    2.438    0.002   35.375    0.035 phylotree.py:455(<listcomp>)
1054856/1053087    2.156    0.000    2.188    0.000 :0(len)
   960492    2.094    0.000    2.094    0.000 :0(extendleft)
   468644    2.078    0.000    3.438    0.000 phylotree.py:356(_get_species)
   964490    1.750    0.000    1.750    0.000 :0(popleft)
      209    1.438    0.007    1.438    0.007 :0(compile)
   468644    1.359    0.000    1.359    0.000 phylotree.py:60(_parse_species)
      389    0.375    0.001    1.125    0.003 doccer.py:13(docformat)
   107913    0.359    0.000    0.359    0.000 :0(append)
     3111    0.328    0.000    0.328    0.000 :0(stat)
     6233    0.188    0.000    0.422    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
  126/122    0.188    0.001    0.219    0.002 :0(create_dynamic)
   1999/1    0.188    0.000    0.906    0.906 newickreader.py:486(_parse_tree_node_description)
        1    0.172    0.172   37.922   37.922 spoverlap.py:148(get_evol_events_from_root)
     4134    0.156    0.000    0.156    0.000 :0(__exit__)
      397    0.156    0.000    0.344    0.001 doccer.py:180(indentcount_lines)
      633    0.141    0.000    0.859    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
      633    0.141    0.000    0.141    0.000 :0(loads)
     6232    0.125    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      731    0.109    0.000    0.109    0.000 :0(open_code)
     9526    0.109    0.000    0.109    0.000 tokenizer.py:263(_get_next_char)
     3999    0.109    0.000    2.078    0.001 tree.py:622(<listcomp>)
    19665    0.094    0.000    0.094    0.000 :0(join)
    935/1    0.078    0.000   46.375   46.375 :0(exec)
     1317    0.078    0.000    0.828    0.001 <frozen importlib._bootstrap_external>:1604(find_spec)
    21830    0.078    0.000    0.078    0.000 :0(min)
     3999    0.078    0.000    0.219    0.000 tokenizer.py:175(__next__)
     1999    0.078    0.000    0.094    0.000 _edge.py:14(__init__)
     8446    0.062    0.000    0.062    0.000 :0(get)
     3423    0.062    0.000    0.062    0.000 <frozen importlib._bootstrap>:1032(__exit__)
    36211    0.062    0.000    0.062    0.000 :0(isinstance)
    10356    0.062    0.000    0.062    0.000 :0(read)
    19775    0.062    0.000    0.062    0.000 :0(pop)
     8132    0.062    0.000    0.062    0.000 :0(setattr)
   727/99    0.062    0.000    0.125    0.001 _compiler.py:37(_compile)
